"","country","week","sex","avAbNumber","avCrRate","avStRate","avDifAbs","avDifCrRate","avDifStRate","regCrRate","regStRate","actCrRate","actStRate","regDifAbs","regDifCrRate","regDifStRate"
"3451","Norway",7,"male",430.8,0.00842886310154075,0.0117249510640108,-20.8,-0.000571199119854452,-0.00147527308283315,0.0091663050079745,0.0123474542208026,0.0078576639816863,0.0102496779811776,-68.5000000000073,-0.00130864102628819,-0.00209777623962502
"3452","Norway",7,"female",444.8,0.00883868543185286,0.00856450891467602,0.199999999999989,-0.000161983461275945,-0.000295722209825969,0.00887279965468245,0.0085907510678678,0.00867670197057692,0.00826878670485005,-11.1999999999998,-0.000196097684105528,-0.000321964363017749
"3453","Norway",7,"both",875.6,0.00863235060457918,0.00994521474898526,-20.6,-0.000368696574667513,-0.000745755607591225,0.00902031715827262,0.0101514545476213,0.00826365402991167,0.00919945914139403,-79.7000000000044,-0.000756663128360946,-0.000951995406227224
"3454","Norway",8,"male",420,0.00822579881853167,0.0113614882802019,-16,-0.000483125041455409,-0.00117204202257666,0.00738112675535374,0.00964924602837058,0.00774267377707626,0.0101894462576253,17.3000000000029,0.000361547021722521,0.000540200229254668
"3455","Norway",8,"female",447.6,0.00889368319655276,0.00863451636928052,-38.6,-0.00091891666629218,-0.000933434555521854,0.00904856962289258,0.00876595635004691,0.00797476653026058,0.00770108181375866,-56,-0.001073803092632,-0.00106487453628825
"3456","Norway",8,"both",867.6,0.00855710973413979,0.00986864196146976,-54.6,-0.000699389586399217,-0.00110384448323732,0.00820804490479726,0.00922257298259832,0.00785772014774057,0.00876479747823245,-38.6999999999971,-0.000350324757056692,-0.000457775504365874
"3457","Norway",9,"male",420.2,0.00822569899111194,0.0114129179458117,-15.2,-0.000463860179934011,-0.0012417107966418,0.00815040733193396,0.010755067143757,0.00776183881117793,0.0101712071491699,-21.1999999999998,-0.000388568520756028,-0.000583859994587085
"3458","Norway",9,"female",457.2,0.00909148964199798,0.00876527202521858,-26.2,-0.000687762564877414,-0.000659007598195781,0.00771897479140449,0.00748142188650569,0.00840372707712057,0.0081062644270228,33.2000000000044,0.000684752285716083,0.000624842540517105
"3459","Norway",9,"both",877.4,0.00865549318726905,0.00992269168281507,-41.4,-0.000575475913577638,-0.000916368416579688,0.00793595494729565,0.00888993298841578,0.00808001727369141,0.00900632326623539,12.0000000000073,0.000144062326395756,0.000116390277819603
"3460","Norway",10,"male",411.6,0.00805893549109175,0.0112118659558677,-54.6,-0.00121701831679417,-0.0023572343779939,0.00773422777896698,0.0101734629144247,0.00684191717429758,0.00885463157787381,-47.9999999999982,-0.000892310604669404,-0.00131883133655085
"3461","Norway",10,"female",456.8,0.00908036340761678,0.00881170097276206,-14.8,-0.000462156057066216,-0.000586551508513104,0.00844090235225914,0.0082609676989171,0.00861820735055056,0.00822514946424895,7.40000000000327,0.000177304998291421,-3.58182346681443e-05
"3462","Norway",10,"both",868.4,0.00856585835742797,0.00984520801864665,-69.4,-0.000843449503744427,-0.00125475167250828,0.00808435018635423,0.0090645316616339,0.00772240885368354,0.00859045634613837,-40.5999999999949,-0.000361941332670688,-0.00047407531549553
"3463","Norway",11,"male",397.4,0.00778025212090329,0.0107695418440821,15.6,0.000134906963088031,-0.000273175043681574,0.00751658588901608,0.00988362318391356,0.00791515908399132,0.0104963668004005,19.8000000000006,0.000398573194975245,0.00061274361648698
"3464","Norway",11,"female",430.8,0.00855914903831542,0.00826228316999664,-16.8,-0.000486891474677573,-0.000531851984703273,0.00886933349718094,0.00843629567905797,0.00807225756363785,0.00773043118529337,-41.7000000000025,-0.000797075933543093,-0.000705864493764602
"3465","Norway",11,"both",828.2,0.008166729113177,0.00940396119648157,-1.20000000000005,-0.000173697671379397,-0.000507904691973527,0.00818724587251654,0.00918513668360169,0.0079930314417976,0.00889605650450804,-21.9000000000015,-0.000194214430718945,-0.000289080179093642
"3466","Norway",12,"male",400.6,0.00783954546896798,0.0108449390123748,39.4,0.000593069535768539,5.80894890246826e-06,0.00823772739463918,0.0107495183932254,0.00843261500473652,0.0108507479612773,9.69999999999709,0.000194887610097337,0.000101229568051853
"3467","Norway",12,"female",416.4,0.00827381358224033,0.00800070810321837,-46.4,-0.00105947711232244,-0.00102737570219994,0.00836539202836922,0.00812314744740342,0.00721433646991789,0.00697333240101843,-59.6000000000022,-0.00115105555845133,-0.00114981504638498
"3468","Norway",12,"both",817,0.00805507711906593,0.00927947434217217,-7,-0.000226352248623295,-0.00058904557122429,0.00830098366157767,0.00932627306004565,0.00782872487044264,0.00869042877094788,-49.9000000000051,-0.000472258791135025,-0.000635844289097772
"3469","Norway",13,"male",370.6,0.0072531011143272,0.00999974705322362,65.4,0.00110285375400262,0.000759585696742256,0.00748988618682214,0.00988418003463665,0.00835595486832982,0.0107593327499659,44.6999999999971,0.000866068681507678,0.000875152715329227
"3470","Norway",13,"female",410.6,0.00816095675057601,0.0079011548280676,7.39999999999998,-1.07063602363452e-05,-0.000105317761157433,0.00778660972389456,0.00754075733964846,0.00815025039033967,0.00779583706691017,17.300000000002,0.000363640666445115,0.000255079727261713
"3471","Norway",13,"both",781.2,0.00770370676798365,0.00885341870595791,72.8,0.000550282169495374,0.000334596983831556,0.00763648362208773,0.0085706485880224,0.00825398893747902,0.00918801568978947,62,0.000617505315391285,0.000617367101767071
"3472","Norway",14,"male",364.8,0.00714183635940134,0.00983733634502441,14.2,0.000121711565133066,-0.000158633909852428,0.00693100574379346,0.00906604788069643,0.00726354792453441,0.00967870243517199,16.6000000000004,0.000332542180740949,0.00061265455447556
"3473","Norway",14,"female",434.6,0.00863632827260639,0.00839636297143534,17.4,0.000176861144698713,4.09355184853456e-05,0.00854453605546402,0.00824562884631658,0.0088131894173051,0.00843729848992069,12.8999999999996,0.000268653361841079,0.000191669643604109
"3474","Norway",14,"both",799.4,0.00788343862830037,0.00908914137948156,31.6,0.000148253183227814,-0.000135474825793045,0.00773080182213816,0.00869948791256775,0.00803169181152818,0.00895366655368852,29.4999999999995,0.000300889989390022,0.000254178641120768
"3475","Norway",15,"male",376.8,0.0073770923111448,0.0102048431744141,37.2,0.00055723180694819,0.000302678849862431,0.00711983563904353,0.00932954726416546,0.00793432411809299,0.0105075220242766,41.400000000001,0.000814488479049458,0.00117797476011112
"3476","Norway",15,"female",408.8,0.00812424442439595,0.00788500107674531,18.2,0.000201489826022801,7.81756728333513e-05,0.00790861595737785,0.0076572149857784,0.00832573425041875,0.00796317674957866,20.6000000000004,0.000417118293040898,0.00030596176380026
"3477","Norway",15,"both",785.6,0.00774785152706578,0.00889929740015365,55.4,0.000380491208788858,0.00018764959417134,0.00751099659882026,0.00846744369308533,0.00812834273585464,0.00908694699432499,62.0000000000009,0.000617346137034376,0.000619503301239662
"3478","Norway",16,"male",372.4,0.00728963211265297,0.0100165009103795,33.6,0.000491371732626631,8.91934285056593e-05,0.00727845698545043,0.00964558952149933,0.0077810038452796,0.0101056943388852,25.4999999999991,0.000502546859829171,0.000460104817385834
"3479","Norway",16,"female",393.4,0.00781914065067393,0.00757500958748521,16.6,0.000175124086262111,-2.17120340612808e-05,0.00743112161723597,0.00717886994506212,0.00799426473693604,0.00755329755342393,27.7000000000025,0.00056314311970007,0.000374427608361811
"3480","Norway",16,"both",765.8,0.00755244130197391,0.00867922988031765,50.2,0.000334274123064598,0.000122085712836969,0.00735386090485432,0.00828868833500856,0.00788671542503851,0.00880131559315462,53.2000000000007,0.00053285452018419,0.000512627258146053
"3481","Norway",17,"male",375.6,0.00735039933428385,0.0100719690954343,15.4,0.000143128999470654,-0.000341181964124464,0.00765389004554015,0.010211766480045,0.0074935283337545,0.00973078713130982,-8.60000000000218,-0.000160361711785652,-0.000480979348735179
"3482","Norway",17,"female",404.4,0.00803541380614783,0.00779305986130521,-18.4,-0.000509106029422677,-0.000548698929381876,0.00813797147765895,0.00788531078888478,0.00752630777672515,0.00724436093192334,-32.2000000000007,-0.000611663700933798,-0.000640949856961439
"3483","Norway",17,"both",780,0.00769037694036383,0.00883443757119883,-3,-0.00018060012019849,-0.00049713592618931,0.00789354282442334,0.00890803884487263,0.00750977682016534,0.00833730164500952,-40.8000000000029,-0.000383766004257998,-0.000570737199863112
"3484","Norway",18,"male",367.2,0.007186147892576,0.00979387576928096,-2.19999999999999,-0.000190910445465032,-0.000775875603908297,0.00748376439082127,0.00965233493866198,0.00699523744711097,0.00901800016537266,-25.9000000000015,-0.000488526943710298,-0.000634334773289318
